Record_ID,Author(s),Year,Title,Journal / Conference,"Database (PubMed, MEDLINE, Scopus, WoS, etc.)",DOI / PMID,Country / Region of Study,"Health Informatics Domain (e.g., Clinical Decision Support, EHR, mHealth, Telemedicine)","Medical Specialty (e.g., Obstetrics, Oncology, Cardiology)","Type of Fuzzy Logic Used (FL, T2FL, IFS, PFS, HFS, etc.)","Hybrid Methods (ML, DL, MCDM, Optimization, etc.)",Purpose / Objective of Study,"Data Source (Clinical data, Sensor data, Survey, Public dataset)",Sample Size / Dataset Size,Data Preprocessing Techniques,Model / System Architecture,Decision-Making Technique,"Evaluation Metrics (Accuracy, AUC, RMSE, etc.)",Key Results / Findings,Explainability / Interpretability Consideration,"Validation Method (Cross-validation, Expert validation, Clinical validation)",Challenges / Limitations,Future Research Directions,Contribution to Health Informatics Practice,Fuzzy Taxonomy Category (Classical / Orthopair / Higher-order / Hybrid),Uncertainty Handling Mechanism,Role of MCDM in the Model,Method Category (Standalone / Hybrid),Reported Performance Trade-offs,Identified Research Gap Type
124,Murat Kiri?ci; Serdar Kuzu; Ali Kablan,2025,The handling of healthcare waste analysis with an interval-valued Fermatean fuzzy-based decision-making technique,Science of the Total Environment / Related journal (as listed),Scopus; Web of Science,10.1016/j.sftr.2025.100581,Turkey,Healthcare Waste Analysis and Decision Support,Public Health,Interval-Valued Fermatean Fuzzy Sets,Multi-criteria decision-making,To analyze and prioritize healthcare waste handling options under deep uncertainty,Expert assessments and operational criteria,Not applicable,Normalization and weighting,Interval-valued Fermatean fuzzy decision framework,Multi-criteria ranking and selection,Ranking robustness; sensitivity analysis,Provides robust prioritization for waste handling decisions,Moderate interpretability via weight structure,Comparative validation,Elicitation burden and contextual dependence,Field application and lifecycle impact assessment,Supports sustainable healthcare waste handling policy and practice,Higher-order,Interval-valued Fermatean uncertainty representation,Yes,Hybrid,Expressiveness versus increased computational and elicitation complexity,Need for operational validation and reporting
125,Namrata Singh; Ayan Kumar Das; Ditipriya Sinha,2024,Miner Selection in an Internet of Medical Things Framework using Fuzzy Logic,Applied Soft Computing,Scopus; Web of Science,10.1016/j.asoc.2024.111768,India,Internet of Medical Things (IoMT) / Resource Selection,Healthcare IoT,Fuzzy Logic,Optimization / selection modeling,To select suitable “miner”/node entities for IoMT operations using fuzzy logic under uncertainty,IoMT network/simulation data,Not reported in the citation record,Data filtering and normalization,Fuzzy logic-based IoMT selection framework,Fuzzy inference and ranking,Selection accuracy; computational time; stability of selection decisions,Shows that fuzzy-based miner selection improves robustness of IoMT node selection under uncertain conditions,Moderate interpretability via explicit fuzzy rules,Experimental validation,Simulation assumptions and limited real-world deployment evidence,Validation using real IoMT hospital networks and security benchmarking,Supports more reliable IoMT resource allocation and operational stability,Classical,Fuzzy membership functions model uncertainty in node quality,No,Standalone,Improved robustness versus possible computational overhead,Need for real-world deployment and security evaluation
126,Ali Mahmoodirad; Dragan Pamucar; Sadegh Niroomand,2024,A new intuitionistic fuzzy scheme of data envelopment analysis for evaluating rural comprehensive health service centers,Socio-Economic Planning Sciences,Scopus; Web of Science,10.1016/j.seps.2024.102004,Iran,Healthcare Efficiency / Service Center Evaluation,Primary Healthcare / Rural Health,Intuitionistic Fuzzy Sets,Data Envelopment Analysis (DEA),To evaluate efficiency of rural comprehensive health service centers under uncertainty,Operational performance indicators,Not reported in the citation record,Data cleaning and normalization,Intuitionistic fuzzy DEA evaluation model,Efficiency scoring and ranking,Efficiency score; slack measures; comparative efficiency indices,Provides more discriminative efficiency assessment under uncertain/subjective inputs,Moderate interpretability via DEA slacks and criteria structure,Comparative validation with baseline DEA models,Input/output selection sensitivity and data availability,Longitudinal tracking and linkage with health outcomes,Supports evidence-based performance improvement and resource allocation,Orthopair,Intuitionistic membership/non-membership captures uncertainty,Yes,Hybrid,More realistic modeling versus higher modeling complexity,Need for outcome-based validation beyond efficiency scores
127,Deepak Agrawal; Sumit Gupta; Chandni Dusad; M.L. Meena; G.S. Dangayach; Sandeep Jagtap,2025,Identifying enablers for a circular healthcare supply chain: An integrated fuzzy DEMATEL-MMDE approach with hesitant information,Cleaner Engineering and Technology,Scopus; Web of Science,10.1016/j.clet.2025.100882,India,Healthcare Supply Chain / Circular Economy,Healthcare Operations,Hesitant Fuzzy Information,Fuzzy DEMATEL; MMDE (integrated decision modeling),To identify and prioritize key enablers for circular healthcare supply chains using hesitant fuzzy influence modeling,Expert judgments and organizational indicators,Not applicable,Normalization and expert aggregation,Integrated hesitant-fuzzy DEMATEL–MMDE framework,Causal influence analysis and prioritization,Influence strength scores; sensitivity analysis; ranking stability,Reveals the most influential enablers and causal pathways for circular supply chain implementation,Moderate interpretability via causal maps,Expert validation,Subjective elicitation burden and context dependence,Validation across regions and incorporation of quantitative performance KPIs,Supports strategic planning toward sustainable healthcare supply chains,Higher-order,Hesitant fuzzy modeling of uncertain expert opinions,Yes,Hybrid,Richer causal insight versus elicitation and modeling complexity,Need for empirical linkage to operational sustainability outcomes
128,Dikhita Das; Anita Sengar,2022,A fuzzy analytic hierarchy process-based analysis for prioritization of barriers to the adoption of eHealth in India,International Journal of Medical Informatics,Scopus; Web of Science; PubMed,10.1016/j.ijmedinf.2022.104830,India,eHealth Adoption / Implementation Barriers,Digital Health,Fuzzy Sets,Fuzzy Analytic Hierarchy Process (AHP),To prioritize barriers limiting eHealth adoption using fuzzy pairwise comparisons,Expert elicitation and/or stakeholder surveys,Not reported in the citation record,Linguistic scaling; consistency checks,Fuzzy AHP barrier prioritization framework,Multi-criteria weighting and ranking,Consistency ratio; priority weights; sensitivity analysis,Produces ranked barriers to eHealth adoption to guide policy and implementation actions,High interpretability via explicit barrier weights,Expert validation,Context-specific barriers and limited generalizability,Cross-state replication and integration with empirical adoption outcomes,Supports targeted interventions to accelerate eHealth adoption,Classical,Fuzzy linguistic modeling of judgment uncertainty,Yes,Standalone,Transparent prioritization versus reliance on expert judgment,Need for validation with real adoption/usage data
129,Dhanya K. Sudhish; Latha R. Nair; Shailesh S,2024,Content-based image retrieval for medical diagnosis using fuzzy clustering and deep learning,Biomedical Signal Processing and Control,Scopus; Web of Science,10.1016/j.bspc.2023.105620,India,Medical Imaging / Content-Based Image Retrieval (CBIR),Radiology / Imaging,Fuzzy Clustering,Deep learning,To retrieve clinically similar images using fuzzy clustering combined with deep learning features,Medical image datasets,Not reported in the citation record,Image preprocessing; normalization; feature extraction,Deep feature extractor + fuzzy clustering retrieval pipeline,Similarity ranking and retrieval,Precision; recall; mean average precision; retrieval time,Improves retrieval relevance by combining deep representations with fuzzy clustering membership,Moderate interpretability via clustering membership and similarity scores,Experimental validation,Dependence on dataset characteristics and labeling quality,External validation on multi-center imaging repositories,Supports faster image-based decision support and case comparison,Hybrid,Fuzzy membership handles borderline similarity cases,No,Hybrid,Better retrieval quality versus higher compute/training requirements,Need for clinical workflow evaluation and scalability studies
130,Fuyuan Xiao; Weiping Ding,2019,Divergence measure of Pythagorean fuzzy sets and its application in medical diagnosis,Applied Soft Computing,Scopus; Web of Science,10.1016/j.asoc.2019.03.043,China,Clinical Decision Support / Medical Diagnosis,General Diagnosis,Pythagorean Fuzzy Sets,Decision modeling,To propose a divergence measure for Pythagorean fuzzy sets and apply it to medical diagnosis,Expert assessments and/or benchmark diagnosis datasets,Not reported in the citation record,Normalization and fuzzification,Pythagorean fuzzy diagnostic decision model,Ranking/classification via divergence comparison,Diagnostic accuracy; sensitivity; specificity; comparison with baseline measures,Introduces a new divergence measure that enhances discrimination in fuzzy diagnosis tasks,Moderate interpretability via explicit mathematical measure,Experimental validation,Mathematical focus with limited clinical deployment evidence,Clinical validation with real patient cases and clinician feedback,Improves uncertainty-aware diagnostic reasoning tools,Orthopair,Pythagorean membership/non-membership uncertainty representation,No,Standalone,Improved discrimination versus added modeling complexity,Need for real-world clinical validation and explainability studies
131,A. Cagri Tolga,2020,Real options valuation of an IoT based healthcare device with interval Type-2 fuzzy numbers,Socio-Economic Planning Sciences,Scopus; Web of Science,10.1016/j.seps.2019.02.008,Turkey,Health Technology Assessment / Investment Valuation,Healthcare Management,Interval Type-2 Fuzzy Sets,Real options analysis,To value IoT healthcare device investments under uncertainty using interval type-2 fuzzy numbers,Financial and scenario data,Not applicable,Scenario modeling; fuzzy parameterization,Interval type-2 fuzzy real options valuation framework,Decision analysis and valuation,Net present value equivalents; option value; sensitivity analysis,Provides a more uncertainty-robust valuation of healthcare IoT investments,Moderate interpretability via financial scenario structure,Comparative validation against crisp valuation methods,Model assumptions and parameter sensitivity,Empirical validation using real procurement and adoption outcomes,Supports better investment decisions for healthcare IoT technologies,Higher-order,Interval type-2 fuzzy modeling of deep uncertainty,No,Hybrid,Better uncertainty coverage versus modeling effort,Need for empirical adoption and cost-benefit validation
132,Dikhita Das; Anita Sengar,2023,Analysis of factors inhibiting the customer engagement of eHealth in India: Modeling the barriers using ISM-Fuzzy MICMAC analysis,International Journal of Medical Informatics,Scopus; Web of Science; PubMed,10.1016/j.ijmedinf.2023.105199,India,eHealth Engagement / Barrier Modeling,Digital Health,Fuzzy Sets,Interpretive Structural Modeling (ISM); Fuzzy MICMAC,To structure and classify barriers inhibiting eHealth user engagement using fuzzy influence analysis,Expert elicitation and stakeholder inputs,Not reported in the citation record,Normalization and expert aggregation,ISM hierarchy + fuzzy MICMAC driver–dependence analysis,Causal structuring and classification,Driver–dependence scores; stability checks,Identifies key driving barriers and their influence pathways on eHealth engagement,Moderate interpretability via hierarchical model,Expert validation,Subjective judgments and context dependence,Longitudinal engagement studies and cross-region replication,Supports targeted strategies to improve eHealth engagement,Classical,Fuzzy linguistic uncertainty in influence assessments,Yes,Hybrid,Richer causal insight versus elicitation burden,Need for validation with usage analytics and behavioral outcomes
133,Sen Liu; Jinxin Zhang; Ben Niu; Ling Liu; Xiaojun He,2022,A novel hybrid multi-criteria group decision-making approach with intuitionistic fuzzy sets to design reverse supply chains for COVID-19 medical waste recycling channels,Computers and Industrial Engineering,Scopus; Web of Science,10.1016/j.cie.2022.108228,China,Healthcare Waste Reverse Supply Chain Design,Public Health / Waste Management,Intuitionistic Fuzzy Sets,Multi-criteria group decision-making,To design and select reverse supply chain recycling channels for COVID-19 medical waste using intuitionistic fuzzy MAGDM,Expert assessments and operational criteria,Not applicable,Normalization and group aggregation,Intuitionistic fuzzy MAGDM supply chain design framework,Multi-criteria selection and ranking,Ranking robustness; sensitivity analysis; consistency checks,Provides an uncertainty-aware selection of recycling channel designs under pandemic conditions,Moderate interpretability via criteria weights and rankings,Expert validation,Context dependence and limited operational deployment evidence,Field evaluation and integration with lifecycle environmental impacts,Supports safer and more sustainable medical waste recycling channel design,Orthopair,Intuitionistic membership/non-membership uncertainty modeling,Yes,Hybrid,Robust decisions versus high elicitation and modeling requirements,Need for real implementation outcomes and cost/environment validation
134,Amir Hussain; Xiaoya Zhu; Kifayat Ullah; Mehvish Sarfaraz; Shi Yin; Dragan Pamucar,2023,Multi-attribute group decision-making based on Pythagorean fuzzy rough Aczel-Alsina aggregation operators and its applications to Medical diagnosis,Heliyon,Scopus; Web of Science,10.1016/j.heliyon.2023.e23067,China / Multi-country (not specified),Clinical Decision Support / Medical Diagnosis,General Diagnosis,Pythagorean Fuzzy + Rough Sets,MAGDM aggregation operators,To propose Aczel–Alsina aggregation operators in a Pythagorean fuzzy rough environment and apply to diagnosis,Expert judgments / case data,Not reported in the citation record,Normalization and fuzzification,Pythagorean fuzzy rough aggregation-based decision model,Multi-criteria aggregation and ranking,Ranking consistency; comparative performance with other operators,Provides improved aggregation behavior for uncertain diagnosis decision settings,Moderate interpretability via explicit operators,Experimental validation,Mathematical focus with limited clinical outcome validation,Testing on larger clinical case repositories and clinician evaluation,Supports structured uncertainty-aware multi-criteria diagnosis reasoning,Higher-order,Pythagorean + rough uncertainty handling,Yes,Standalone,More expressive uncertainty modeling versus higher complexity,Need for clinical validation and explainability reporting
135,Mohamed Ali Elleuch; Amal Ben Hassena; Mohamed Abdelhedi; Francisco Silva Pinto,2021,Real-time prediction of COVID-19 patients health situations using Artificial Neural Networks and Fuzzy Interval Mathematical modeling,Applied Soft Computing,Scopus; Web of Science,10.1016/j.asoc.2021.107643,Tunisia,Clinical Decision Support / Risk Prediction,Infectious Diseases (COVID-19),Fuzzy Interval Modeling,Artificial Neural Networks (ANN),To predict COVID-19 patient health status in real time using ANN with fuzzy interval uncertainty handling,Clinical monitoring data,Not reported in the citation record,Data cleaning; normalization; feature selection,ANN + fuzzy interval modeling prediction system,Risk stratification and prediction,Accuracy; Area Under the ROC Curve; sensitivity; specificity; prediction latency,Improves real-time prediction robustness by modeling measurement uncertainty with fuzzy intervals,Partial interpretability via interval rules/features,Cross-validation,Dataset shift across waves/centers and limited external validation,External validation across hospitals and variants; model updating,Supports real-time triage and monitoring decision support,Hybrid,Fuzzy intervals model measurement uncertainty,No,Hybrid,Improved robustness versus reduced transparency and higher tuning needs,Need for strong external validation and clinical deployment evidence
136,Jiulin Jin; Harish Garg,2023,Intuitionistic fuzzy three-way ranking-based TOPSIS approach with a novel entropy measure and its application to medical treatment selection,Advances in Engineering Software,Scopus; Web of Science,10.1016/j.advengsoft.2023.103459,China,Clinical Decision Support / Treatment Selection,General Treatment Planning,Intuitionistic Fuzzy Sets,Entropy weighting; Three-way decision; TOPSIS,To support treatment selection using a three-way ranking TOPSIS under intuitionistic fuzzy uncertainty,Expert evaluations and treatment criteria,Not applicable,Normalization; entropy-based weighting,Intuitionistic fuzzy three-way TOPSIS decision framework,Ranking and selection,Closeness coefficient; ranking stability; sensitivity analysis,Delivers more cautious and structured treatment ranking via three-way decision regions,Moderate interpretability via weights and decision regions,Comparative validation,Subjectivity and limited reporting of clinical implementation,Prospective evaluation in multidisciplinary clinical boards,"Supports transparent, uncertainty-aware treatment option selection",Orthopair,Intuitionistic membership/non-membership uncertainty,Yes,Hybrid,More nuanced decisions versus higher elicitation effort,Need for clinical usability evaluation and impact evidence
137,Aniello Minutolo; Massimo Esposito; Giuseppe De Pietro,2016,A fuzzy framework for encoding uncertainty in clinical decision-making,Knowledge-Based Systems,Scopus; Web of Science,10.1016/j.knosys.2016.01.020,Italy,Clinical Decision Support Framework,General Clinical Decision-Making,Fuzzy Logic,Knowledge-based reasoning,To provide a framework for representing clinical uncertainty using fuzzy modeling in decision processes,Clinical knowledge and/or case data,Not reported in the citation record,Knowledge elicitation and fuzzification,Fuzzy uncertainty encoding framework,Fuzzy inference and decision support,Decision consistency; diagnostic/treatment agreement metrics (as reported),Formalizes uncertainty representation to improve consistency of clinical decision support reasoning,High interpretability via explicit fuzzy representation,Conceptual and/or experimental validation,General framework may require domain tailoring,Domain-specific implementations and clinical trials,Supports safer decisions by making uncertainty explicit,Classical,Fuzzy membership captures vagueness and imprecision,No,Standalone,Strong interpretability versus need for domain configuration,Need for more real-world deployments and outcome evaluation
138,Mohammad Ali Baghapour; Mohammad Reza Shooshtarian; Mohammad Reza Javaheri; Sina Dehghanifard; Razieh Sefidkar; Amir Fadaei Nobandegani,2018,A computer-based approach for data analyzing in hospital’s health-care waste management sector by developing an index using consensus-based fuzzy multi-criteria group decision-making models,International Journal of Medical Informatics,Scopus; Web of Science; PubMed,10.1016/j.ijmedinf.2018.07.001,Iran,Healthcare Waste Management Decision Support,Public Health / Waste Management,Fuzzy Sets,Consensus-based MCDM; group decision-making,To develop an index for hospital waste management using consensus fuzzy group decision models,Hospital waste management operational data and expert input,Not reported in the citation record,Data cleaning; normalization,Index-based decision support architecture,Consensus-based ranking and scoring,Consistency; consensus level; ranking robustness,Develops a decision index supporting structured hospital waste management evaluation,Moderate interpretability via index components,Expert validation,Context dependence and data quality constraints,Deployment evaluation across multiple hospitals,Improves decision consistency and benchmarking in hospital waste management,Hybrid,Fuzzy uncertainty in criteria scoring and consensus aggregation,Yes,Hybrid,Robust group decisions versus higher elicitation burden,"Need for implementation impact evidence (cost, safety, compliance)"
139,Li Zhang; Jianming Zhan; Yiyu Yao,2020,Intuitionistic fuzzy TOPSIS method based on CVPIFRS models: An application to biomedical problems,Information Sciences,Scopus; Web of Science,10.1016/j.ins.2020.01.003,China,Clinical Decision Support / Biomedical Decision-Making,Biomedical Applications,Intuitionistic Fuzzy Sets,TOPSIS; decision modeling,To enhance TOPSIS ranking using CVPIFRS-based intuitionistic fuzzy modeling for biomedical decisions,Expert assessments / biomedical criteria,Not applicable,Normalization and weighting,CVPIFRS-based intuitionistic fuzzy TOPSIS framework,Multi-criteria ranking and selection,Closeness coefficient; ranking stability; sensitivity analysis,Provides improved ranking discrimination and robustness for biomedical decision problems,Moderate interpretability via weights and TOPSIS structure,Comparative validation,Method complexity and parameter sensitivity,Application to real clinical decision committees and datasets,Supports structured biomedical decision-making under uncertainty,Orthopair,Intuitionistic membership/non-membership uncertainty,Yes,Hybrid,Improved discrimination versus added computational complexity,Need for clinical validation and usability reporting
140,Jinming Xing; Can Gao; Jie Zhou,2022,Weighted fuzzy rough sets-based tri-training and its application to medical diagnosis,Applied Soft Computing,Scopus; Web of Science,10.1016/j.asoc.2022.109025,China,Clinical Decision Support / Semi-supervised Diagnosis,General Diagnosis,Fuzzy Rough Sets,Semi-supervised learning (tri-training),To improve medical diagnosis classification using weighted fuzzy rough sets within a tri-training semi-supervised framework,Clinical datasets (partly labeled),Not reported in the citation record,Data cleaning; normalization; feature selection,Weighted fuzzy rough set + tri-training classification pipeline,Semi-supervised classification,Accuracy; Precision; Recall; F1-score; Area Under the ROC Curve,Improves classification performance when labeled medical data are limited,Moderate interpretability via fuzzy rough approximations,Cross-validation,Class imbalance and sensitivity to parameter choices,External validation on multi-center datasets and model calibration,Supports better diagnosis tools in low-label clinical settings,Hybrid,Fuzzy rough approximations handle boundary uncertainty,No,Hybrid,Better performance with few labels versus training complexity,Need for clinical validation and explainability enhancement
141,Yongli Liu; Xing Wan,2016,Information bottleneck based incremental fuzzy clustering for large biomedical data,Journal of Biomedical Informatics,Scopus; Web of Science; PubMed,10.1016/j.jbi.2016.05.009,China,Biomedical Data Analytics / Clustering,Biomedical Informatics,Fuzzy Clustering,Incremental learning; information bottleneck,To cluster large-scale biomedical data incrementally while preserving the most informative structure,Large biomedical datasets (public or institutional),Large-scale; exact size not stated in the citation record,Data cleaning; normalization; incremental update strategy,Incremental fuzzy clustering algorithm with information-bottleneck objective,Unsupervised clustering,"Clustering validity indices (e.g., partition quality measures); computational efficiency",Improves scalability and stability of fuzzy clustering for big biomedical datasets,Moderate interpretability via cluster membership degrees,Experimental validation on benchmark datasets,May depend on parameter settings and data characteristics,Automated parameter tuning and evaluation on diverse biomedical data types,Supports scalable exploratory analysis and phenotype discovery in biomedical informatics,Classical,Fuzzy memberships capture boundary/overlap uncertainty,No,Hybrid,Better scalability versus potential loss of fine-grained structure,Need for broader validation across heterogeneous biomedical data
142,Wenhui Zhou; Xiaomin Liu; Hongtao Bai; Lili He,2024,Intelligent medical diagnosis and treatment for diabetes with deep convolutional fuzzy neural networks,Information Sciences,Scopus; Web of Science,10.1016/j.ins.2024.120802,Nchinese,Clinical Decision Support / Diagnosis & Treatment Planning,Endocrinology (Diabetes),Fuzzy Neural Networks (Deep Convolutional Fuzzy NN),Deep learning,To support diabetes diagnosis (and potentially treatment recommendation) using deep convolutional fuzzy neural networks,Clinical records and/or diabetes datasets (likely public + clinical),Not reported in the citation record,Data preprocessing; normalization; feature engineering,Deep convolutional fuzzy neural network architecture,Classification / decision inference,Accuracy; Area Under the ROC Curve; Precision; Recall; F1-score,Shows improved diabetes decision support performance compared with baselines,Some interpretability via fuzzy components (rule/membership layers),Experimental validation (likely cross-validation),Model complexity and need for external clinical validation,External validation on multi-hospital cohorts; integration into clinical workflow,Improves decision support for diabetes management by combining representation learning with uncertainty-aware fuzzy reasoning,Hybrid,Fuzzy layers handle uncertainty in clinical measurements,No,Hybrid,Higher predictive power versus higher compute and reduced transparency,Need for clinical explainability reporting and prospective evaluation
143,Sicui Zhang; Laura Genga; Lukas Dekker; Hongchao Nie; Xudong Lu; Huilong Duan; Uzay Kaymak,2024,Re-ordered fuzzy conformance checking for uncertain clinical records,Journal of Biomedical Informatics,Scopus; Web of Science; PubMed,10.1016/j.jbi.2023.104566,Netherlands,Clinical Process Mining / Conformance Checking,Clinical Workflow / Hospital Processes,Fuzzy Logic (Fuzzy conformance checking),Process mining,To improve conformance checking when clinical event logs are uncertain or partially ordered,Uncertain clinical event logs / EHR-derived process logs,Not reported in the citation record,Event-log preprocessing; uncertainty modeling; re-ordering strategy,Fuzzy conformance checking with re-ordering mechanism,Conformance analysis and deviation detection,Conformance score; fitness; precision; process deviation metrics,Improves reliability of process conformance assessment under uncertainty,Moderate interpretability via explicit process deviations and fuzzy scoring,Experimental validation on clinical logs,Data quality issues and limited generalizability across hospitals,Generalization across departments and integration with quality-improvement workflows,Supports safer and more accurate process compliance evaluation in hospitals,Hybrid,Fuzzy modeling of timing/order uncertainty in event logs,No,Hybrid,Better handling of uncertainty versus added computational complexity,Need for broader clinical deployments and user-centered evaluation
144,R.J. Kuo; Ferani E. Zulvia,2021,The application of gradient evolution algorithm to an intuitionistic fuzzy neural network for forecasting medical cost of acute hepatitis treatment in Taiwan,Applied Soft Computing,Scopus; Web of Science,10.1016/j.asoc.2021.107711,Taiwan,Health Economics Forecasting / Cost Prediction,Hepatology (Acute Hepatitis),Intuitionistic Fuzzy Neural Network,Optimization (gradient evolution algorithm),To forecast treatment costs using an intuitionistic fuzzy neural network optimized by a gradient evolution algorithm,Claims/clinical cost records (healthcare financial data),Not reported in the citation record,Data cleaning; normalization; feature selection,Intuitionistic fuzzy neural network optimized via gradient evolution,Learning-based regression / forecasting,RMSE (Root Mean Square Error); MAE (Mean Absolute Error); MAPE (Mean Absolute Percentage Error),Improves medical cost forecasting accuracy for acute hepatitis treatment in Taiwan,Partial interpretability via intuitionistic fuzzy representation,Train/test split and/or cross-validation,Region-specific cost structure; model tuning sensitivity,Testing across diseases and multi-year policy periods,Supports better budgeting and cost-management planning in healthcare,Hybrid,Intuitionistic membership/non-membership models uncertainty in cost drivers,No,Hybrid,Improved forecast accuracy versus increased modeling complexity,Need for transferability studies across settings and health systems
145,Hafsaa Ouifak; Ali Idri,2023,On the performance and interpretability of Mamdani and Takagi-Sugeno-Kang based neuro-fuzzy systems for medical diagnosis,Scientific African,Scopus,10.1016/j.sciaf.2023.e01610,Morocco.,Clinical Decision Support / Diagnostic Modeling,General Diagnosis,Neuro-Fuzzy Systems (Mamdani vs TSK),Comparative evaluation,To compare performance and interpretability of Mamdani- and TSK-based neuro-fuzzy diagnostic systems,Benchmark medical datasets / clinical datasets,Not reported in the citation record,Data cleaning; normalization; feature selection,Neuro-fuzzy models using Mamdani and TSK inference,Classification and inference,Accuracy; Sensitivity; Specificity; AUC (Area Under the ROC Curve); F1-score,"Finds trade-offs: TSK often offers stronger predictive performance, while Mamdani tends to be more interpretable via rule structure",High interpretability emphasis (rule base comparison),Cross-validation and benchmarking,Limited to selected datasets; interpretability can be subjective,Standardized interpretability metrics and clinician-in-the-loop studies,Supports selection of neuro-fuzzy model type based on accuracy–interpretability needs,Hybrid,Fuzzy inference captures uncertainty; neural learning adapts parameters,No,Hybrid,Accuracy gains versus interpretability differences between Mamdani and TSK,Need for standardized interpretability evaluation in clinical contexts
146,Not reported in the citation record,2016,Fuzzy Methods in Clinical Research and Patient Care,Procedia Computer Science,Scopus,10.1016/j.procs.2016.09.362,Austria,Clinical Research Methods / Patient Care Support,General Healthcare,Fuzzy Methods (Overview),Not reported in the citation record,To review or present fuzzy methods applied to clinical research and patient care,Literature / conceptual examples,Not applicable,Not applicable (review/conceptual),Conceptual/overview framework,Not applicable,Not applicable,Highlights how fuzzy techniques can represent uncertainty in clinical research and patient care contexts,High-level explainability via conceptual descriptions,Narrative / conceptual validation,Lack of empirical evaluation typical of overview works,Empirical case studies and implementation guidelines,Supports broader adoption by summarizing fuzzy methods and use-cases,Classical,General fuzzy uncertainty handling discussed,No,Standalone,Conceptual breadth versus limited empirical evidence,Need for practical implementation and outcome-focused studies
147,Majid Ghasemi; Manoochehr Kelarestaghi; Farshad Eshghi; Arash Sharifi,2020,T2-FDL: A robust sparse representation method using adaptive type-2 fuzzy dictionary learning for medical image classification,Expert Systems with Applications,Scopus; Web of Science,10.1016/j.eswa.2020.113500,Iran,Medical Image Classification,Radiology / Imaging,Type-2 Fuzzy Logic (Adaptive Type-2),Sparse representation; dictionary learning,To improve image classification robustness using adaptive type-2 fuzzy dictionary learning,Medical imaging datasets,Not reported in the citation record,Image preprocessing; feature extraction; normalization,Type-2 fuzzy dictionary learning + sparse coding classifier,Image classification,Accuracy; AUC (Area Under the ROC Curve); Precision; Recall; F1-score,Improves classification accuracy and robustness under noise/uncertainty compared to baseline sparse representation methods,Moderate interpretability via dictionary atoms and fuzzy modeling,Cross-validation and benchmark comparison,Computational cost; parameter tuning requirements,Acceleration methods and evaluation on multi-center datasets,Supports more reliable imaging-based decision support under uncertainty,Higher-order,Type-2 membership functions model uncertainty in representation,No,Hybrid,Robustness and accuracy versus increased computation,Need for clinical utility evaluation and deployment studies
148,Sefa Çelik; ?skender Peker; A. Cansu Gök-K?sa; Gülçin Büyüközkan,2023,Multi-criteria evaluation of medical waste management process under intuitionistic fuzzy environment: A case study on hospitals in Turkey,Socio-Economic Planning Sciences,Scopus; Web of Science,10.1016/j.seps.2022.101499,Turkey,Healthcare Waste Management Evaluation,Public Health,Intuitionistic Fuzzy Sets,MCDM (multi-criteria evaluation),To evaluate hospital medical waste management processes using intuitionistic fuzzy multi-criteria analysis,Expert assessments + hospital process indicators,Not applicable,Normalization; weighting; expert aggregation,Intuitionistic fuzzy MCDM evaluation framework,Ranking and scoring,Ranking robustness; sensitivity analysis; weighted scores,Provides ranked evaluation of waste management process factors for Turkish hospitals,Moderate interpretability via criteria and weights,Case-study expert validation,Case-study limitation; context dependence,Replication across countries and inclusion of environmental impact metrics,Supports better waste management governance and hospital compliance improvement,Orthopair,Intuitionistic membership/non-membership captures evaluation uncertainty,Yes,Standalone,Richer uncertainty modeling versus reliance on expert elicitation,"Need for outcome-based validation (cost, compliance, safety, emissions)"
149,Santonab Chakraborty; Rakesh D. Raut; T.M. Rofin; Srinjoy Chatterjee; Shankar Chakraborty,2023,A comparative analysis of Multi-Attributive Border Approximation Area Comparison (MABAC) model for healthcare supplier selection in fuzzy environments,Decision Analytics Journal,Scopus,10.1016/j.dajour.2023.100290,India,Healthcare Supply Chain / Supplier Selection,Healthcare Operations,Fuzzy Environments (fuzzy numbers/sets),MABAC; comparative MCDM,To compare MABAC-based supplier selection performance under fuzzy uncertainty,Supplier evaluation criteria + expert judgments,Not applicable,Normalization; weighting,Fuzzy MABAC supplier selection framework,Supplier ranking and selection,Ranking stability; sensitivity analysis; comparative consistency,Shows how fuzzy MABAC supports stable supplier ranking under uncertain criteria,High interpretability via criteria weights and ranking process,Comparative validation,Subjectivity and context dependence,Field validation with procurement outcomes,Supports transparent supplier selection decisions in healthcare procurement,Classical,Fuzzy linguistic uncertainty in supplier criteria,Yes,Standalone,Robust ranking versus elicitation burden,Need for linking ranking to real procurement performance and risk outcomes
