Record_ID,Author(s),Year,Title,Journal / Conference,"Database (PubMed, MEDLINE, Scopus, WoS, etc.)",DOI / PMID,Country / Region of Study,"Medical Specialty (e.g., Obstetrics, Oncology, Cardiology)",Domains,"Type of Fuzzy Logic Used (FL, T2FL, IFS, PFS, HFS, etc.)","Hybrid Methods (ML, DL, MCDM, Optimization, etc.)","Evaluation Metrics (Accuracy, AUC, RMSE, etc.)",Summary of the study,Results based on Evaluation metrics,Key Results / Findings,Challenges / Limitations,Future Research Directions,Identified Research Gap Type
71,Fei Yan; Hesheng Huang; Witold Pedrycz; Kaoru Hirota,2024,A disease diagnosis system for smart healthcare based on fuzzy clustering and battle royale optimization,Applied Soft Computing,Web of Science,10.1016/j.asoc.2023.111123,China,General Diagnosis,General Health,Fuzzy Clustering,Optimization (Battle Royale),Accuracy; Precision; Recall; F-measure,This study proposes a smart healthcare diagnosis system using fuzzy clustering and optimization algorithms.,Quantitative: improved performance,Improves diagnostic performance via optimized clustering,Optimization parameter sensitivity,Clinical validation and robustness tests,Need for clinical deployment and explainability studies
72,Yingxu Wang; Long Chen; Jin Zhou; Tianjun Li; C. L. Philip Chen,2022,Interval type-2 outlier-robust picture fuzzy clustering and its application in medical image segmentation,Applied Soft Computing,Web of Science,10.1016/j.asoc.2022.108891,China,Radiology,General Health,Interval Type-2 Picture Fuzzy Sets,Outlier-robust clustering,Segmentation performance,This study proposes robust fuzzy clustering for medical image segmentation handling noise and outliers.,Qualitative: improved robustness,Improves segmentation quality under noisy conditions,Model complexity and computational cost,Real-time segmentation optimization,Need for clinical modality benchmarking
73,Emanuel Ontiveros-Robles; Oscar Castillo; Patricia Melin,2021,Towards asymmetric uncertainty modeling in designing General Type-2 Fuzzy classifiers for medical diagnosis,Expert Systems with Applications,Scopus,10.1016/j.eswa.2021.115370,Mexico,General Diagnosis,General Health,General Type-2 Fuzzy Logic,Machine learning classification,Classification performance,This study proposes a Type-2 fuzzy classifier to improve diagnosis under uncertainty.,Qualitative: improved performance vs baseline,Improves diagnosis performance under asymmetric uncertainty,Computational complexity and parameter tuning,Benchmarking on multi-institution datasets,Need for explainability and clinical deployment evidence
74,Mohammad Izadikhah,2022,A fuzzy stochastic slacks-based data envelopment analysis model with application to healthcare efficiency,Health Policy and Technology / Health (journal as given),Web of Science,10.1016/j.health.2022.100038,Iran,Healthcare Management - Medical data,General Health,Fuzzy Stochastic DEA,Optimization and efficiency analysis,Efficiency scores,This study develops a fuzzy stochastic DEA model to evaluate hospital efficiency under uncertainty.,Qualitative: effective hospital performance evaluation,Provides efficiency rankings and improvement targets under uncertainty,Data availability and sensitivity to inputs,Longitudinal efficiency tracking and policy evaluation,Need for broader empirical benchmarking
75,Himansu Das; Bighnaraj Naik; H.S. Behera,2020,Medical disease analysis using Neuro-Fuzzy with Feature Extraction Model for classification,Information and Communication Technology / Informatics in Medicine Unlocked (as listed),Scopus,10.1016/j.imu.2019.100288,India,General Diagnosis,General Health,Neuro-Fuzzy Systems,Feature extraction,Accuracy; statistical tests,This study proposes a neuro-fuzzy model with feature extraction to improve disease classification accuracy and efficiency.,Qualitative: outperforms existing models,Improves classification performance using neuro-fuzzy learning,Model tuning and dataset dependence,Testing on multi-center datasets,Need for stronger explainability and clinical validation
76,?rem Otay; Basar Oztaysi; Sezi Cevik Onar; Cengiz Kahraman,2017,Multi-expert performance evaluation of healthcare institutions using an integrated intuitionistic fuzzy AHP and data envelopment analysis methodology,Knowledge-Based Systems,Scopus,10.1016/j.knosys.2017.06.028,Turkey,Healthcare Management,General Health,Intuitionistic Fuzzy Sets,Intuitionistic fuzzy AHP; Data Envelopment Analysis,Efficiency scores (DEA); comparative analysis with classical DEA,"This study proposes a multi-expert decision-making framework integrating intuitionistic fuzzy Analytic Hierarchy Process (IF-AHP) and intuitionistic fuzzy Data Envelopment Analysis (DEA) to evaluate healthcare institution performance. The model incorporates membership, non-membership, and hesitancy to better handle uncertainty in decision-making. IF-AHP is used to weight inputs and outputs, while IF-DEA evaluates efficiency. A real-life case study involving 16 hospitals in Istanbul is conducted, comparing results with traditional DEA. In healthcare, the approach improves performance evaluation by incorporating expert judgment and uncertainty, supporting better resource allocation and quality improvement decisions in hospital management.","Quantitative: efficiency scores calculated for 16 hospitals; comparative results show differences between fuzzy DEA and classical DEA, demonstrating improved handling of uncertainty and decision-maker hesitancy",Provides robust ranking and efficiency assessment across institutions,Dependence on chosen indicators and experts,Linking scores to quality-of-care outcomes,Need for validation against patient outcome metrics
77,Dhanalakshmi Palanisami; Nandhini Mohan; Lavanya Ganeshkumar,2022,A new approach of multi-modal medical image fusion using intuitionistic fuzzy set,Biomedical Signal Processing and Control,Scopus,10.1016/j.bspc.2022.103762,India,Radiology,General Health,Intuitionistic Fuzzy Sets,Image fusion methods,Image quality measures,This study proposes a multi-modal medical image fusion technique using intuitionistic fuzzy sets to combine CT and MRI images. It improves contrast and clarity for better diagnosis.,Qualitative: improved contrast and artifact-free images,Improves fusion quality and detail preservation,Limited testing on modalities and datasets,Testing on larger multi-center imaging datasets,Need for clinical impact evaluation on diagnosis accuracy
78,Arokia Jesu Prabhu L; Sudhakar Sengan; Kamalam G K; Vellingiri J; Jagadeesh Gopal; Priya Velayutham; Subramaniyaswamy V,2020,Medical information retrieval systems for e-Health care records using fuzzy based machine learning model,Microprocessors and Microsystems,Scopus,10.1016/j.micpro.2020.103344,India,Health Information Management - EHR ,General Health,Fuzzy Logic,Fuzzy-based machine learning,Model performance,This study proposes a fuzzy-based machine learning model for retrieving medical information from electronic health records. It improves decision support for clinicians.,Qualitative: improved retrieval and decision-making,Improves retrieval effectiveness for eHealth records,Data heterogeneity and privacy constraints,Integration with hospital EHR systems,Need for evaluation on real hospital-scale EHR
79,Gamal Saad Mohamed Khamis; Nasser S. Alqahtani; Sultan Munadi Alanazi; Mohammed Muharrab Alruwaili; Mariam Shabram Alenazi; Maneaf A. Alrawaili,2025,Using Fuzzy C-Means clustering and PCA in public health: A machine learning approach to combat CVD and obesity,Informatics in Medicine Unlocked,Scopus,10.1016/j.imu.2025.101666,Saudi Arabia,Cardiology / Metabolic Health - Obesity,Physical Health,Fuzzy C-Means,Principal Component Analysis,Clustering outcomes,This study combines PCA and fuzzy C-means clustering to identify high-risk groups for cardiovascular disease and obesity. It supports public health decision-making.,Qualitative: effective identification of risk groups,Groups populations into risk-relevant clusters to support interventions,Data representativeness and variable selection,Longitudinal risk prediction and intervention evaluation,Need for linkage to real clinical outcomes
80,Zhi Li; Fuhe Liang; Ming Li,2025,A fuzzy DEMATEL-based delegated Proof-of-Stake consensus mechanism for medical model fusion on blockchain,Advanced Engineering Informatics,Scopus,10.1016/j.aei.2024.103095,China,Medical imaging,General Health,Fuzzy Logic,DEMATEL; blockchain consensus design,Latency; throughput; CPU; memory,This study proposes a fuzzy DEMATEL-based blockchain consensus mechanism for distributed medical model collaboration. It improves interpretability and privacy in federated learning systems.,Latency â‰ˆ 0.2853 s; CPU â†‘15.89%; memory â†‘2.47%,Improves consensus robustness for healthcare model fusion tasks,Complexity and deployment constraints,Real hospital blockchain pilot deployment,Need for real-world healthcare blockchain validation
81,Ali Mahmoodirad; Dragan Pamucar; Sadegh Niroomand,2024,A new intuitionistic fuzzy scheme of data envelopment analysis for evaluating rural comprehensive health service centers,Socio-Economic Planning Sciences,Scopus,10.1016/j.seps.2024.102004,Iran,Primary Healthcare / Rural Health,General Health,Intuitionistic Fuzzy Sets,Data Envelopment Analysis (DEA),Efficiency scores; sensitivity analysis,This study extends DEA into an intuitionistic fuzzy environment to evaluate healthcare center efficiency under uncertainty. It includes sensitivity analysis.,Qualitative: improved flexibility vs classical DEA,Provides more discriminative efficiency assessment under uncertain/subjective inputs,Input/output selection sensitivity and data availability,Longitudinal tracking and linkage with health outcomes,Need for outcome-based validation beyond efficiency scores
82,Dhanya K. Sudhish; Latha R. Nair; Shailesh S,2024,Content-based image retrieval for medical diagnosis using fuzzy clustering and deep learning,Biomedical Signal Processing and Control,Scopus,10.1016/j.bspc.2023.105620,India,Radiology / Imaging,General Health,Fuzzy Clustering,Deep learning,Precision@10; mAP,This study proposes a CBIR system combining CNN and fuzzy clustering for MRI-based brain tumor diagnosis. It improves retrieval accuracy of similar cases.,mAP = 98.15%; Precision@10 = 97.62%,Improves retrieval relevance by combining deep representations with fuzzy clustering membership,Dependence on dataset characteristics and labeling quality,External validation on multi-center imaging repositories,Need for clinical workflow evaluation and scalability studies
83,Fuyuan Xiao; Weiping Ding,2019,Divergence measure of Pythagorean fuzzy sets and its application in medical diagnosis,Applied Soft Computing,Scopus,10.1016/j.asoc.2019.03.043,China,General Diagnosis,General Health,Pythagorean Fuzzy Sets,Decision modeling,Comparative analysis,This study proposes a Jensenâ€“Shannon divergence-based distance measure for Pythagorean fuzzy sets applied to medical diagnosis. It improves discrimination and avoids counter-intuitive results.,Qualitative: more reliable and effective than existing methods,Introduces a new divergence measure that enhances discrimination in fuzzy diagnosis tasks,Mathematical focus with limited clinical deployment evidence,Clinical validation with real patient cases and clinician feedback,Need for real-world clinical validation and explainability studies
84,Mohamed Ali Elleuch; Amal Ben Hassena; Mohamed Abdelhedi; Francisco Silva Pinto,2021,Real-time prediction of COVID-19 patients health situations using Artificial Neural Networks and Fuzzy Interval Mathematical modeling,Applied Soft Computing,Scopus,10.1016/j.asoc.2021.107643,Tunisia,Infectious Diseases (COVID-19),Respiratory Health,Fuzzy Interval Modeling,Artificial Neural Networks (ANN),Comparative performance,"This study combines artificial neural networks and fuzzy interval mathematical modeling to prioritize and schedule COVID-19 patients. In healthcare, it improves resource allocation and reduces mortality risk.",Qualitative: effective patient prioritization under uncertainty,Improves real-time prediction robustness by modeling measurement uncertainty with fuzzy intervals,Dataset shift across waves/centers and limited external validation,External validation across hospitals and variants; model updating,Need for strong external validation and clinical deployment evidence
85,Jiulin Jin; Harish Garg,2023,Intuitionistic fuzzy three-way ranking-based TOPSIS approach with a novel entropy measure and its application to medical treatment selection,Advances in Engineering Software,Scopus,10.1016/j.advengsoft.2023.103459,China,General Treatment Planning,General Health,Intuitionistic Fuzzy Sets,Entropy weighting; Three-way decision; TOPSIS,Sensitivity analysis; comparative analysis,"This study introduces an entropy-based intuitionistic fuzzy TOPSIS method with three-way ranking for medical treatment selection. It improves decision-making under uncertainty. In healthcare, it supports optimal treatment choice.",Qualitative: superior to classical MCDM methods,Delivers more cautious and structured treatment ranking via three-way decision regions,Subjectivity and limited reporting of clinical implementation,Prospective evaluation in multidisciplinary clinical boards,Need for clinical usability evaluation and impact evidence
86,Aniello Minutolo; Massimo Esposito; Giuseppe De Pietro,2016,A fuzzy framework for encoding uncertainty in clinical decision-making,Knowledge-Based Systems,Scopus,10.1016/j.knosys.2016.01.020,Italy,General Clinical Decision-Making - hypertension,General Health,Fuzzy Logic,Knowledge-based reasoning,Usability evaluation,"This study proposes a fuzzy framework for representing and encoding uncertainty in clinical guidelines within decision support systems. It models imprecision using fuzzy rules and multi-level inference. In healthcare, it improves clinical decision-making by better handling uncertainty in guideline-based recommendations.",Qualitative: high satisfaction among medical users,Formalizes uncertainty representation to improve consistency of clinical decision support reasoning,General framework may require domain tailoring,Domain-specific implementations and clinical trials,Need for more real-world deployments and outcome evaluation
87,Li Zhang; Jianming Zhan; Yiyu Yao,2020,Intuitionistic fuzzy TOPSIS method based on CVPIFRS models: An application to biomedical problems,Information Sciences,Scopus,10.1016/j.ins.2020.01.003,China,Biomedical Applications- bone transplant,General Health,Intuitionistic Fuzzy Sets,TOPSIS; decision modeling,Sensitivity analysis; comparative analysis,"This study proposes an intuitionistic fuzzy TOPSIS decision-making framework based on covering-based variable precision intuitionistic fuzzy rough sets (CVPIFRS). It is applied to biomedical decision-making problems such as bone transplant selection, handling uncertainty and imprecision in clinical data. In healthcare, it supports better treatment selection under uncertain conditions.",Qualitative: more effective than existing MADM methods,Provides improved ranking discrimination and robustness for biomedical decision problems,Method complexity and parameter sensitivity,Application to real clinical decision committees and datasets,Need for clinical validation and usability reporting
88,Jinming Xing; Can Gao; Jie Zhou,2022,Weighted fuzzy rough sets-based tri-training and its application to medical diagnosis,Applied Soft Computing,Web of Science,10.1016/j.asoc.2022.109025,China,General Diagnosis,General Health,Fuzzy Rough Sets,Semi-supervised learning (tri-training),Model performance,This study proposes a fuzzy rough set-based tri-training model for medical diagnosis.,Qualitative: favorable results,Improves classification performance when labeled medical data are limited,Class imbalance and sensitivity to parameter choices,External validation on multi-center datasets and model calibration,Need for clinical validation and explainability enhancement
89,Yongli Liu; Xing Wan,2016,Information bottleneck based incremental fuzzy clustering for large biomedical data,Journal of Biomedical Informatics,Web of Science,10.1016/j.jbi.2016.05.009,China,Biomedical Informatics,General Health,Fuzzy Clustering,Incremental learning; information bottleneck,Clustering outcomes,This study proposes incremental fuzzy clustering for large biomedical datasets.,Quantitative: improved clustering accuracy,Improves scalability and stability of fuzzy clustering for big biomedical datasets,May depend on parameter settings and data characteristics,Automated parameter tuning and evaluation on diverse biomedical data types,Need for broader validation across heterogeneous biomedical data
90,Wenhui Zhou; Xiaomin Liu; Hongtao Bai; Lili He,2024,Intelligent medical diagnosis and treatment for diabetes with deep convolutional fuzzy neural networks,Information Sciences,Web of Science,10.1016/j.ins.2024.120802,China,Endocrinology (Diabetes),Physical Health,Fuzzy Neural Networks (Deep Convolutional Fuzzy NN),Deep learning,Latency; throughput; CPU; memory,This study proposes a deep convolutional fuzzy neural network improving diagnosis and interpretability.,Quantitative: ~7.4% improvement,Shows improved diabetes decision support performance compared with baselines,Model complexity and need for external clinical validation,External validation on multi-hospital cohorts; integration into clinical workflow,Need for clinical explainability reporting and prospective evaluation
91,Sicui Zhang; Laura Genga; Lukas Dekker; Hongchao Nie; Xudong Lu; Huilong Duan; Uzay Kaymak,2024,Re-ordered fuzzy conformance checking for uncertain clinical records,Journal of Biomedical Informatics,Web of Science,10.1016/j.jbi.2023.104566,Netherlands,Clinical Workflow / Hospital Processes,General Health,Fuzzy Logic (Fuzzy conformance checking),Process mining,Efficiency scores; sensitivity analysis,This study proposes a fuzzy conformance checking method for clinical process analysis under uncertainty.,Qualitative: more accurate diagnostics,Improves reliability of process conformance assessment under uncertainty,Data quality issues and limited generalizability across hospitals,Generalization across departments and integration with quality-improvement workflows,Need for broader clinical deployments and user-centered evaluation
92,R.J. Kuo; Ferani E. Zulvia,2021,The application of gradient evolution algorithm to an intuitionistic fuzzy neural network for forecasting medical cost of acute hepatitis treatment in Taiwan,Applied Soft Computing,Web of Science,10.1016/j.asoc.2021.107711,Taiwan,Hepatology (Acute Hepatitis),Physical Health,Intuitionistic Fuzzy Neural Network,Optimization (gradient evolution algorithm),Precision@10; mAP,This study proposes a gradient evolution-based intuitionistic fuzzy neural network for medical cost prediction.,Quantitative: lowest training error,Improves medical cost forecasting accuracy for acute hepatitis treatment in Taiwan,Region-specific cost structure; model tuning sensitivity,Testing across diseases and multi-year policy periods,Need for transferability studies across settings and health systems
93,Hafsaa Ouifak; Ali Idri,2023,On the performance and interpretability of Mamdani and Takagi-Sugeno-Kang based neuro-fuzzy systems for medical diagnosis,Scientific African,Scopus,10.1016/j.sciaf.2023.e01610,Morocco.,General Diagnosis,General Health,Neuro-Fuzzy Systems (Mamdani vs TSK),Comparative evaluation,Comparative analysis,This study compares neuro-fuzzy classifiers for diagnosis focusing on performance and interpretability.,Qualitative: best trade-off models identified,"Finds trade-offs: TSK often offers stronger predictive performance, while Mamdani tends to be more interpretable via rule structure",Limited to selected datasets; interpretability can be subjective,Standardized interpretability metrics and clinician-in-the-loop studies,Need for standardized interpretability evaluation in clinical contexts
94,Majid Ghasemi; Manoochehr Kelarestaghi; Farshad Eshghi; Arash Sharifi,2020,T2-FDL: A robust sparse representation method using adaptive type-2 fuzzy dictionary learning for medical image classification,Expert Systems with Applications,Web of Science,10.1016/j.eswa.2020.113500,Iran,Radiology / Imaging,General Health,Type-2 Fuzzy Logic (Adaptive Type-2),Sparse representation; dictionary learning,Comparative performance,This study proposes a type-2 fuzzy dictionary learning model for robust medical image classification.,Qualitative: outperforms existing models,Improves classification accuracy and robustness under noise/uncertainty compared to baseline sparse representation methods,Computational cost; parameter tuning requirements,Acceleration methods and evaluation on multi-center datasets,Need for clinical utility evaluation and deployment studies
95,Rong Jiang; Yang Xin; Zhenxing Chen; Ying Zhang,2022,A medical big data access control model based on fuzzy trust prediction and regression analysis,Applied Soft Computing,Web of Science,10.1016/j.asoc.2022.108423,China,Health Informatics Security,General Health,Fuzzy Trust Model,Regression analysis,Sensitivity analysis; comparative analysis,This study proposes a fuzzy trust-based access control model for healthcare data security using regression analysis.,Qualitative: improved trust prediction,Improves access control decisions by modeling uncertain trust in users/entities,Security threats evolve; limited real deployment evidence,Testing against advanced adversarial behaviors and real hospital systems,Need for real-world security evaluation and longitudinal robustness studies
96,Faezeh Farivar; Alireza Jolfaei; Mohammad Manthouri; Mohammad Sayad Haghighi,2023,Application of fuzzy learning in IoT-enabled remote healthcare monitoring and control of anesthetic depth during surgery,Information Sciences,Web of Science,10.1016/j.ins.2022.12.094,Iran,Anesthesiology,General Health,Fuzzy Learning,IoT; control systems,Usability evaluation,This study proposes an IoT-based system using adaptive type-II fuzzy learning for anesthesia control and remote monitoring.,Qualitative: effective and robust control,Demonstrates improved anesthetic depth control robustness under uncertain physiological signals,Safety-critical deployment challenges and regulatory constraints,Prospective clinical validation and safety assurance studies,"Need for clinical trials, safety certification, and explainability for clinicians"
97,Farman Ali; S.M. Riazul Islam; Daehan Kwak; Pervez Khan; Niamat Ullah; Sang-jo Yoo; K.S. Kwak,2018,Type-2 fuzzy ontology–aided recommendation systems for IoT–based healthcare,Computer Communications,Web of Science,10.1016/j.comcom.2017.10.005,China,diabetes,Physical Health,Type-2 Fuzzy Logic (T2FL),Ontology-based modeling; Recommendation,Sensitivity analysis; comparative analysis,"This study proposes a type-2 fuzzy ontology-based recommendation system for IoT healthcare to monitor chronic patients and recommend diet and drugs. It integrates wearable sensors, fuzzy logic, and ontology to automate decision-making and improve diabetes management.",Qualitative: improved prediction accuracy and precision,Improved recommendation quality under uncertainty,Ontology maintenance burden,Scalable semantic-fuzzy recommenders,Personalization gap
98,Hicham Benbriqa; Ali Idri; Ibtissam Abnane,2023,Performance of heterogenous neuro-fuzzy ensembles over medical datasets,Scientific African,Scopus,10.1016/j.sciaf.2023.e01838,Morocco,General medical diagnosis (Diabetes and Parkinsons),Physical Health,Neuro-Fuzzy ensembles,Ensemble learning,Accuracy; Precision; Recall,This study evaluates 26 neuro-fuzzy ensemble models across medical datasets analyzing performance vs interpretability.,Quantitative + statistical comparison,Ensembles improve predictive performance over single models,Reduced interpretability in ensembles,Interpretable ensemble strategies,Ensemble explainability gap
99,S. Sabeena Begam; J. Vimala,2022,Compositions on lattice ordered multi-fuzzy soft matrix and its simulated application in medical diagnosis,Mathematics and Computers in Simulation,Web of Science,10.1016/j.matcom.2021.03.008,India,General medical diagnosis,General Health,Multi-fuzzy soft sets / matrices,,Comparative analysis,This study proposes multi-fuzzy soft matrix models for medical decision-making and diagnosis using algebraic structures.,Qualitative: improved reliability,Demonstrates diagnostic reasoning via multi-fuzzy soft matrices,Limited real-world clinical evaluation,Apply to real clinical datasets,Translation-to-practice gap
100,Bü?ra Meniz; Sezin Ozturk Usun; Sema Akin Bas; Elif Yafez; Beyza Ahlatcioglu Ozkok,2025,Integration of Type-2 fuzzy TOPSIS and QFD to address patient satisfaction in healthcare,Applied Soft Computing,Web of Science,10.1016/j.asoc.2025.113187,Turkey,Patient experience / service quality,General Health,Type-2 Fuzzy Logic (T2FL),MCDM (TOPSIS); QFD,Ranking; satisfaction evaluation,This study proposes a hybrid fuzzy TOPSIS-QFD framework to evaluate patient satisfaction in hospitals using survey data.,Qualitative: effective evaluation,Identifies prioritized service improvements linked to patient needs,Subjectivity and data collection burden,Combine with real patient outcome data,Patient-experience gap
101,Choukri Djellali; Mehdi Adda,2017,Predictive variables selection through Genetic Algorithm and Fuzzy Adaptive Resonance Theory using medical diagnosis as a case,Procedia Computer Science,Scopus,10.1016/j.procs.2017.05.305,Algeria / Tunisia (North Africa),General medical diagnosis,General Health,Fuzzy ART (FL-based),Genetic Algorithm (Optimization),Accuracy; computation time,This study proposes a hybrid GA and fuzzy ART model for feature selection in medical diagnosis improving classification efficiency.,Qualitative: improved accuracy and speed,Improved diagnostic performance with optimized feature subset,Dataset dependence,Multi-site clinical validation,Feature selection gap
102,Franziska Bocklisch; Daniel Hausmann,2018,Multidimensional fuzzy pattern classifier sequences for medical diagnostic reasoning,Applied Soft Computing,Web of Science,10.1016/j.asoc.2018.02.041,Germany,General medical diagnosis,General Health,Fuzzy pattern classifiers (FL),,Model effectiveness,"This study proposes multidimensional fuzzy pattern classifiers for diagnostic reasoning incorporating cognitive aspects. In healthcare, it supports complex diagnosis under uncertainty.",Qualitative: improved reasoning capability,Provides improved diagnostic reasoning using sequential fuzzy classifiers,Potential scalability limits,Integration with clinical workflows,Scalability/implementation gap
103,Weiping Ding; Haipeng Wang; Jiashuang Huang; Hengrong Ju; Yu Geng; Chin-Teng Lin; Witold Pedrycz,2023,FTransCNN: Fusing Transformer and a CNN based on fuzzy logic for uncertain medical image segmentation,Information Fusion,Web of Science,10.1016/j.inffus.2023.101880,China,Radiology / Imaging,General Health,Fuzzy learning / fuzzy fusion,DL (Transformer + CNN),Segmentation accuracy,This study proposes a fuzzy fusion model combining CNN and Transformer for medical image segmentation. It improves feature fusion and segmentation accuracy.,Qualitative: better performance than SOTA,Improved segmentation robustness in uncertain regions,High computation and model complexity,Lightweight explainable segmentation,Uncertainty-aware segmentation gap
104,Weiping Ding; Sheng Geng; Haipeng Wang; Jiashuang Huang; Tianyi Zhou,2024,FDiff-Fusion: Denoising diffusion fusion network based on fuzzy learning for 3D medical image segmentation,Information Fusion,Web of Science,10.1016/j.inffus.2024.102540,China,Radiology / Imaging,General Health,Fuzzy learning,DL (diffusion models; fusion networks),Dice score; HD95,"This study proposes a fuzzy learning-based diffusion model for 3D medical image segmentation improving boundary accuracy and robustness. In healthcare, it enhances tumor segmentation.",Quantitative: improved segmentation metrics,Improved segmentation accuracy and robustness,High compute demand,Efficient/clinically deployable diffusion-fuzzy models,Efficiency/deployment gap
105,Tengbiao Li; Junsheng Qiao,2025,q-rung orthopair fuzzy MAGDM for healthcare waste treatment based on three-way decisions,Pattern Recognition (as listed),Web of Science,10.1016/j.patcog.2024.110867,China,Environmental health,General Health,q-rung Orthopair Fuzzy Sets,MAGDM; three-way decisions,Sensitivity; reliability analysis,"This study proposes a q-rung orthopair fuzzy multi-attribute group decision-making method for healthcare waste treatment selection. It integrates entropy and decision theory. In healthcare, it supports optimal technology selection.",Qualitative: validated effectiveness,Produces robust selection strategy under uncertainty,Input subjectivity,Integrate empirical waste performance data,Methodological complexity gap
106,R. Radha; R. Gopalakrishnan,2020,Medical analytical system using fuzzy level set brain image segmentation based on improved quantum PSO,Microprocessors and Microsystems,Scopus,10.1016/j.micpro.2020.103283,China,Neurology / Brain imaging,General Health,Fuzzy level set,Optimization (quantum PSO),Segmentation accuracy,"This study proposes a fuzzy level set-based brain image segmentation method optimized with quantum particle swarm optimization. It improves segmentation accuracy and stability in MRI images. In healthcare, it supports tumor detection and diagnosis.",Quantitative: ~15% improvement over baseline,Enhanced segmentation compared with baseline methods,Sensitivity to parameter tuning,Automated parameter selection,Parameter tuning gap
107,Jamal S.M. Alneamy; Zakaria A. Hameed Alnaish; S.Z. Mohd Hashim; Rahma A. Hamed Alnaish,2019,Hybrid functional fuzzy wavelet neural networks with teaching-learning-based optimization for medical disease diagnosis,Computers in Biology and Medicine,Web of Science,10.1016/j.compbiomed.2019.103348,Iraq / Malaysia (collaborative),Cardiovascular disease (heart disease),Physical Health,Fuzzy wavelet neural network,Optimization (TLBO),Accuracy; Mean Square Error (MSE); Sensitivity; Specificity; Kappa; Execution time,"This study proposes a hybrid Functional Fuzzy Wavelet Neural Network (FFWNN) optimized using the Teaching-Learning-Based Optimization (TLBO) algorithm for medical disease diagnosis. The model integrates fuzzy wavelet neural networks with functional link neural networks to improve learning performance and classification accuracy. It is evaluated on five benchmark medical datasets including breast cancer, heart disease, hepatitis, diabetes, and appendicitis. In healthcare, the approach enhances diagnostic accuracy and reduces computational complexity, providing an efficient intelligent system for multi-disease prediction and clinical decision support.",Breast cancer: 98.309%; Heart disease: 91.1%; Hepatitis: 91.39%; Diabetes: 88.67%; Appendicitis: 93.51%; evaluated using 5-fold and 10-fold cross-validation,Reported performance improvement over comparators,Risk of overfitting,External clinical validation,Generalizability gap
108,Shafi Ahmad; Sarfaraz Masood; Noor Zaman Khan; Irfan Anjum Badruddin; Ompal; Ali Ahmadian; Zahid A. Khan; Amil Hayat Khan,2023,Analysing the impact of COVID-19 pandemic on psychological health using fuzzy MCDM methods,Operations Research Perspectives,Web of Science,10.1016/j.orp.2022.100263,India / Pakistan (South Asia),Mental health,Mental Health,Fuzzy sets (FL),MCDM,Ranking; sensitivity analysis,This study uses fuzzy MCDM methods to rank psychological factors affecting health during COVID-19.,"Qualitative: anxiety, stress, insomnia ranked highest",Identifies key drivers affecting psychological health during COVID-19,Subjectivity and context dependence,Cross-country comparative studies,Evidence generalizability gap
109,Paja Wies?aw,2021,Identification of Relevant Medical Parameter Values in Information Systems using Fuzzy Approach,Procedia Computer Science,Scopus,10.1016/j.procs.2021.09.166,Poland,Breast cancer,Cancer and Neoplasms,Fuzzy logic (FL),,Classification quality,This study proposes a fuzzy-based feature selection method to identify important medical parameters.,Qualitative: reduced features without loss of accuracy,Provides systematic identification of relevant parameter values,Limited clinical validation,Integration into hospital IS dashboards,Clinical validation gap
110,József Mezei; Shahrokh Nikou,2018,Fuzzy optimization to improve mobile health and wellness recommendation systems,Knowledge-Based Systems,Scopus,10.1016/j.knosys.2017.11.030,Hungary,Wellness / prevention,General Health,Fuzzy logic (FL),Optimization,Optimization performance,This study proposes a fuzzy optimization model for mobile health recommendation systems handling uncertainty.,Qualitative: improved recommendation quality,Improves mHealth recommendation relevance under uncertainty,Privacy and context variability,Privacy-preserving personalized recommenders,Privacy-aware personalization gap
111,Seyed Mohsen Mousavi; Salwani Abdullah; Seyed Taghi Akhavan Niaki; Saeed Banihashemi,2021,Intelligent hybrid classification integrating fuzzy rule-based extraction and harmony search optimization: Medical diagnosis applications,Knowledge-Based Systems,Scopus,10.1016/j.knosys.2021.106943,Malaysia,General medical diagnosis,General Health,Fuzzy rule-based system (FL),Optimization (Harmony Search),Cross-validation; statistical tests,This study proposes a hybrid fuzzy rule-based classifier with harmony search optimization for medical diagnosis.,Qualitative: robust performance across datasets,Improved diagnosis accuracy compared to baselines,Parameter tuning / overfitting risk,External validation in clinical settings,Generalizability gap
112,Yuan Gao; Shiwei Ma; Jingjing Liu; Yanyan Liu; Xianxia Zhang,2021,Fusion of medical images based on salient features extraction by PSO optimized fuzzy logic in NSST domain,Biomedical Signal Processing and Control,Scopus,10.1016/j.bspc.2021.102852,China,Radiology / Imaging,General Health,Fuzzy logic (FL),Optimization (PSO); NSST transform,Image quality metrics,This study proposes a PSO-optimized fuzzy system for multimodal medical image fusion improving diagnostic quality.,Qualitative: improved contrast and feature retention,Enhanced fused image quality reported,Parameter sensitivity,Real-time fusion and clinical evaluation,Real-time deployment gap
